longitude,latitude
-88.3270306,42.2589118
-88.2521441,42.1925702
-88.2356441,42.4411308
-88.430438,42.3151137
-87.7125269,39.0925409
-89.4367568,40.9361474
-89.4250901,41.0583696
-89.1686737,37.0007129
-89.3559051,38.618547
-88.0142392,42.1044709
-87.8014604,42.4514101
-90.0317832,40.5664277
-88.1647608,39.246427
-88.1253537,42.1028039
-90.038441,39.3531025
-87.8464621,42.4402989
-87.9644763,42.2217276
-87.9436647,42.290181
-87.9006709,42.2144089
-87.8459068,42.4561321
-87.9560742,42.3022238
-87.8903478,42.1950247
-87.8362624,42.4616292
-88.0647956,42.0789157
-87.8400728,42.4339101
-88.0228504,42.0711949
-89.9720502,39.4442149
-88.1370298,41.9718227
-88.1675737,41.9861389
-88.0563588,41.9574496
-88.0577805,41.7801762
-88.0764593,41.9639174
-90.1370567,38.235608
-89.9291746,40.3796174
-88.9556336,39.8422591
-88.9648004,39.8403147
-88.9314661,39.8419811
-88.8859088,39.8336475
-89.0148024,39.8572597
-89.8692699,38.2175494
-89.9056637,37.9597741
-89.9939962,38.2117173
-89.9082953,37.9631781
-89.7045437,38.1203275
-88.4389287,37.1750554
-89.2217528,41.3086466
-89.2967541,41.1214246
-89.3606448,41.1994809
-87.8367341,42.177803
-90.3714,40.9532692
-88.0797597,38.72727
-88.74063,41.3264224
-89.1242518,41.5433659
-88.6306271,41.2542006
-88.6667403,41.4633648
-88.8406299,41.1186446
-87.8444749,38.8203237
-87.7625286,38.7028251
-87.5389106,38.6828247
-88.3475724,41.7661403
-88.0578133,38.3772706
-88.0564244,38.3772706
-88.0572577,38.3778262
-88.072292,41.9500286
-88.0712361,41.9414204
-88.0578449,41.8778071
-88.0286472,39.6550346
-88.6861982,41.9875284
-89.4390649,38.8952101
-89.9776241,42.0947455
-91.4068665,39.9318793
-88.1315915,40.3101836
-90.2048428,40.1875454
-89.8967793,40.4894837
-89.4025794,38.881991
-91.3870939,39.9297682
-90.191787,40.201434
-87.6207468,41.8564712
